X,Y,id,x,y,z,dip_dir,dip_ang
-1485.562112,-288611.7076,2,-1485.562112,-288611.7076,-3817.670573,294.1245494,4.251100985
-1484.410253,-288610.4021,2,-1484.410253,-288610.4021,-3817.373848,294.1245494,4.251100985
-1483.258395,-288609.2503,2,-1483.258395,-288609.2503,-3817.179611,294.1245494,4.251100985
-1482.64407,-288608.1752,2,-1482.64407,-288608.1752,-3817.312333,294.1245494,4.251100985
-1481.338631,-288606.409,2,-1481.338631,-288606.409,-3817.279661,294.1245494,4.251100985
-1480.493934,-288605.5643,2,-1480.493934,-288605.5643,-3817.164015,294.1245494,4.251100985
-1479.342076,-288604.2589,2,-1479.342076,-288604.2589,-3816.990283,294.1245494,4.251100985
-1478.49738,-288602.7999,2,-1478.49738,-288602.7999,-3817.01025,294.1245494,4.251100985
-1477.115149,-288600.8801,2,-1477.115149,-288600.8801,-3816.896036,294.1245494,4.251100985
-1476.040081,-288599.9586,2,-1476.040081,-288599.9586,-3816.670041,294.1245494,4.251100985
-1475.656129,-288598.9603,2,-1475.656129,-288598.9603,-3816.798085,294.1245494,4.251100985
-1474.581061,-288597.2709,2,-1474.581061,-288597.2709,-3816.799015,294.1245494,4.251100985
-1473.582783,-288596.1191,2,-1473.582783,-288596.1191,-3816.688792,294.1245494,4.251100985
-1472.200553,-288594.5833,2,-1472.200553,-288594.5833,-3816.513902,294.1245494,4.251100985
-1471.663019,-288593.9689,2,-1471.663019,-288593.9689,-3816.426121,294.1245494,4.251100985
-1470.587951,-288592.5867,2,-1470.587951,-288592.5867,-3816.269277,294.1245494,4.251100985
-1469.512883,-288591.2813,2,-1469.512883,-288591.2813,-3816.203134,294.1245494,4.251100985
-1467.66991,-288589.1311,2,-1467.66991,-288589.1311,-3816.11797,294.1245494,4.251100985
-1465.442983,-288585.9059,2,-1465.442983,-288585.9059,-3816.039825,294.1245494,4.251100985
-1464.751868,-288584.6005,2,-1464.751868,-288584.6005,-3816.081311,294.1245494,4.251100985
-1432.730202,-288541.8281,2,-1432.730202,-288541.8281,-3815.242594,294.1245494,4.251100985
-1430.503275,-288538.1422,2,-1430.503275,-288538.1422,-3815.606952,294.1245494,4.251100985
-1428.50672,-288535.1474,2,-1428.50672,-288535.1474,-3815.36548,294.1245494,4.251100985
-1427.12449,-288533.2276,2,-1427.12449,-288533.2276,-3815.264845,294.1245494,4.251100985
-1424.36003,-288531.1543,2,-1424.36003,-288531.1543,-3814.913633,294.1245494,4.251100985
-1422.440266,-288529.0041,2,-1422.440266,-288529.0041,-3815.169473,294.1245494,4.251100985
-1420.981245,-288527.3147,2,-1420.981245,-288527.3147,-3815.462236,294.1245494,4.251100985
-1418.523947,-288524.7806,2,-1418.523947,-288524.7806,-3815.244838,294.1245494,4.251100985
-1416.22023,-288522.7073,2,-1416.22023,-288522.7073,-3815.120853,294.1245494,4.251100985
-1414.761209,-288520.7107,2,-1414.761209,-288520.7107,-3815.347941,294.1245494,4.251100985
-1413.455769,-288519.4053,2,-1413.455769,-288519.4053,-3815.372697,294.1245494,4.251100985
-1412.073539,-288517.6391,2,-1412.073539,-288517.6391,-3815.623231,294.1245494,4.251100985
-1410.84489,-288516.4105,2,-1410.84489,-288516.4105,-3815.582309,294.1245494,4.251100985
-1409.53945,-288514.7211,2,-1409.53945,-288514.7211,-3815.39936,294.1245494,4.251100985
-1405.623131,-288510.6512,2,-1405.623131,-288510.6512,-3815.089484,294.1245494,4.251100985
-1404.624854,-288509.3457,2,-1404.624854,-288509.3457,-3815.058785,294.1245494,4.251100985
-1402.70509,-288506.9652,2,-1402.70509,-288506.9652,-3815.19825,294.1245494,4.251100985
-1401.092488,-288504.5847,2,-1401.092488,-288504.5847,-3815.507274,294.1245494,4.251100985
-1399.479886,-288503.1257,2,-1399.479886,-288503.1257,-3815.385623,294.1245494,4.251100985
-1398.404818,-288502.4346,2,-1398.404818,-288502.4346,-3815.157977,294.1245494,4.251100985
