X,Y,id,x,y,z,dip_dir,dip_ang,descript
-1608.004671108118146,-288814.703422456630506,2,-1608.004671108118146,-288814.703422456630506,-3819.445821822183461,294.124549416161244,4.251100985300923,thin_bright
-1607.083184302518248,-288812.322914875519928,2,-1607.083184302518248,-288812.322914875519928,-3819.491810380593051,294.124549416161244,4.251100985300923,thin_bright
-1606.545650332584955,-288810.095988428627606,2,-1606.545650332584955,-288810.095988428627606,-3819.681448808360074,294.124549416161244,4.251100985300923,thin_bright
-1605.700954094118288,-288808.09943368320819,2,-1605.700954094118288,-288808.099433683208190,-3819.680310861451744,294.124549416161244,4.251100985300923,thin_bright
-1604.702676721384933,-288806.486831773363519,2,-1604.702676721384933,-288806.486831773363519,-3819.585374390845573,294.124549416161244,4.251100985300923,thin_bright
-1604.16514275145164,-288804.336695893667638,2,-1604.165142751451640,-288804.336695893667638,-3819.716070924941505,294.124549416161244,4.251100985300923,thin_bright
-1603.627608781518347,-288803.338418520928826,2,-1603.627608781518347,-288803.338418520928826,-3819.653271410139041,294.124549416161244,4.251100985300923,thin_bright
-1602.70612197591845,-288801.341863775451202,2,-1602.706121975918450,-288801.341863775451202,-3819.559142857438474,294.124549416161244,4.251100985300923,thin_bright
-1601.938216304585012,-288799.268518462835345,2,-1601.938216304585012,-288799.268518462835345,-3819.494292208054503,294.124549416161244,4.251100985300923,thin_bright
-1601.631054036051864,-288797.425544851634186,2,-1601.631054036051864,-288797.425544851634186,-3819.639853625194064,294.124549416161244,4.251100985300923,thin_bright
-1600.939938931851884,-288796.04331464326242,2,-1600.939938931851884,-288796.043314643262420,-3819.578856015543806,294.124549416161244,4.251100985300923,thin_bright
-1600.056847409818602,-288792.933296674396843,2,-1600.056847409818602,-288792.933296674396843,-3819.553248747534326,294.124549416161244,4.251100985300923,thin_bright
-1599.749685141285227,-288791.474275898886845,2,-1599.749685141285227,-288791.474275898886845,-3819.565751150607412,294.124549416161244,4.251100985300923,thin_bright
-1599.058570037085474,-288789.516116436978336,2,-1599.058570037085474,-288789.516116436978336,-3819.437707051482448,294.124549416161244,4.251100985300923,thin_bright
-1598.329059649318651,-288787.365980557224248,2,-1598.329059649318651,-288787.365980557224248,-3819.370319350426144,294.124549416161244,4.251100985300923,thin_bright
-1597.676339828685514,-288785.331030528177507,2,-1597.676339828685514,-288785.331030528177507,-3819.408694168455440,294.124549416161244,4.251100985300923,thin_bright
-1596.908434157352076,-288783.910405036236625,2,-1596.908434157352076,-288783.910405036236625,-3819.395035735444253,294.124549416161244,4.251100985300923,thin_bright
